Page,Title,Link
2,"Old Henry (2021) UHD BluRay REMUX 2160p HEVC DTS-HD MA 5.1-FraMeSToR",https://hduse.net/topic-old-henry-2021-uhd-bluray-remux-2160p-hevc-dts-hd-ma-5-1-framestor.html
2,"X (2022) UHD BluRay REMUX 2160p HEVC DV TrueHD Atmos 7.1-FraMeSToR",https://hduse.net/topic-x-2022-uhd-bluray-remux-2160p-hevc-dv-truehd-atmos-7-1-framestor.html
2,"King Kong (2005) Extended Cut PROPER UHD BluRay REMUX 2160p HEVC DTS-X 7.1-FraMeSToR",https://hduse.net/topic-king-kong-2005-extended-cut-proper-uhd-bluray-remux-2160p-hevc-dts-x-7-1-framestor.html
2,"The Legend of Tarzan (2016) UHD BluRay REMUX 2160p HEVC DV TrueHD Atmos 7.1-FraMeSToR",https://hduse.net/topic-the-legend-of-tarzan-2016-uhd-bluray-remux-2160p-hevc-dv-truehd-atmos-7-1-framestor.html
2,"Red Sparrow (2018) UHD BluRay REMUX 2160p HEVC DV TrueHD Atmos 7.1-FraMeSToR",https://hduse.net/topic-red-sparrow-2018-uhd-bluray-remux-2160p-hevc-dv-truehd-atmos-7-1-framestor.html
2,"Real Genius (1985) UHD BluRay REMUX 2160p HEVC DV TrueHD Atmos 7.1-FraMeSToR",https://hduse.net/topic-real-genius-1985-uhd-bluray-remux-2160p-hevc-dv-truehd-atmos-7-1-framestor.html
2,"Fatal Attraction (1987) UHD BluRay REMUX 2160p HEVC DV TrueHD 5.1-FraMeSToR",https://hduse.net/topic-fatal-attraction-1987-uhd-bluray-remux-2160p-hevc-dv-truehd-5-1-framestor.html
2,"Jerry Maguire (1996) UHD BluRay REMUX 2160p HEVC DV TrueHD Atmos 7.1-FraMeSToR",https://hduse.net/topic-jerry-maguire-1996-uhd-bluray-remux-2160p-hevc-dv-truehd-atmos-7-1-framestor.html
2,"Inside Out (2015) UHD BluRay REMUX 2160p HEVC DV TrueHD Atmos 7.1-FraMeSToR",https://hduse.net/topic-inside-out-2015-uhd-bluray-remux-2160p-hevc-dv-truehd-atmos-7-1-framestor.html
2,"Once Upon a Time in Hollywood (2019) UHD BluRay REMUX 2160p HEVC DV DTS-HD MA 7.1",https://hduse.net/topic-once-upon-a-time-in-hollywood-2019-uhd-bluray-remux-2160p-hevc-dv-dts-hd-ma-7-1.html
2,"A League of Their Own (1992) UHD BluRay REMUX 2160p HEVC DV TrueHD Atmos 7.1-FraMeSTo",https://hduse.net/topic-a-league-of-their-own-1992-uhd-bluray-remux-2160p-hevc-dv-truehd-atmos-7-1-framesto.html
2,"Drive (1997) Directors Cut UHD BluRay REMUX 2160p HEVC DV TrueHD Atmos 7.1-FraMeSToR",https://hduse.net/topic-drive-1997-directors-cut-uhd-bluray-remux-2160p-hevc-dv-truehd-atmos-7-1-framestor.html
2,"Christine (1983) UHD BluRay REMUX 2160p HEVC DV TrueHD Atmos 7.1-FraMeSToR",https://hduse.net/topic-christine-1983-uhd-bluray-remux-2160p-hevc-dv-truehd-atmos-7-1-framestor.html
3,"Bram Stokers Dracula (1992) UHD BluRay REMUX 2160p HEVC DV TrueHD Atmos 7.1-FraMeSToR",https://hduse.net/topic-bram-stokers-dracula-1992-uhd-bluray-remux-2160p-hevc-dv-truehd-atmos-7-1-framestor.html
3,"Barb and Star Go to Vista Del Mar (2021) UHD BluRay REMUX 2160p HEVC DV DTS-HD MA 5.1",https://hduse.net/topic-barb-and-star-go-to-vista-del-mar-2021-uhd-bluray-remux-2160p-hevc-dv-dts-hd-ma-5-1.html
3,"Jurassic World Dominion (2022) Extended-Theatrical UHD BluRay REMUX 2160p HEVC DV DTS",https://hduse.net/topic-jurassic-world-dominion-2022-extended-theatrical-uhd-bluray-remux-2160p-hevc-dv-dts.html
3,"xXx Return of Xander Cage (2017) UHD BluRay REMUX 2160p HEVC DV TrueHD Atmos 7.1",https://hduse.net/topic-xxx-return-of-xander-cage-2017-uhd-bluray-remux-2160p-hevc-dv-truehd-atmos-7-1.html
3,"3 10 to Yuma (2007) UHD BluRay REMUX 2160p HEVC DV DTS-X 7.1-FraMeSToR",https://hduse.net/topic-3-10-to-yuma-2007-uhd-bluray-remux-2160p-hevc-dv-dts-x-7-1-framestor.html
3,"Jumanji (1995) UHD BluRay REMUX 2160p HEVC DV TrueHD Atmos 7.1-FraMeSToR",https://hduse.net/topic-jumanji-1995-uhd-bluray-remux-2160p-hevc-dv-truehd-atmos-7-1-framestor.html
3,"Hellboy (2004) Theatrical UHD BluRay REMUX 2160p HEVC DV TrueHD Atmos 7.1-FraMeSToR",https://hduse.net/topic-hellboy-2004-theatrical-uhd-bluray-remux-2160p-hevc-dv-truehd-atmos-7-1-framestor.html
3,"Angels and Demons (2009) Theatrical Cut UHD BluRay REMUX 2160p HEVC DV TrueHD 7.1",https://hduse.net/topic-angels-and-demons-2009-theatrical-cut-uhd-bluray-remux-2160p-hevc-dv-truehd-7-1.html
3,"The Fate of the Furious (2017) UHD BluRay 2160p DTS-X 7.1 DV HEVC REMUX-FraMeSToR",https://hduse.net/topic-the-fate-of-the-furious-2017-uhd-bluray-2160p-dts-x-7-1-dv-hevc-remux-framestor.html
3,"Child's Play (1988-1990-1991) 2160p UHD Blu-ray Remux HEVC DV TrueHD 7.1-HDT",https://hduse.net/topic-child-s-play-1988-1990-1991-2160p-uhd-blu-ray-remux-hevc-dv-truehd-7-1-hdt-33996.html
3,"I Am Legend (2007) Theatrical UHD BluRay REMUX 2160p HEVC DV DTS-HD MA.5.1-FraMeSToR",https://hduse.net/topic-i-am-legend-2007-theatrical-uhd-bluray-remux-2160p-hevc-dv-dts-hd-ma-5-1-framestor.html
3,"Jurassic Park 4 Jurassic World (2015) UHD Bluray REMUX 2160p HEVC DTS-X MA 5.1-HUS",https://hduse.net/topic-jurassic-park-4-jurassic-world-2015-uhd-bluray-remux-2160p-hevc-dts-x-ma-5-1-hus.html
3,"War for the Planet of the Apes (2017) UHD Bluray REMUX 2160p HEVC HDR TrueHD 7.1-HUS",https://hduse.net/topic-war-for-the-planet-of-the-apes-2017-uhd-bluray-remux-2160p-hevc-hdr-truehd-7-1-hus.html
3,"Rise Of The Planet Of The Apes (2011) UHD Bluray REMUX 2160p HEVC DTS-HD MA 5.1-HUS",https://hduse.net/topic-rise-of-the-planet-of-the-apes-2011-uhd-bluray-remux-2160p-hevc-dts-hd-ma-5-1-hus.html
